"","CITY","STATE","PHYSICAL ZIP","POP","age0s","age10s","age20s","age30s","age40s","age50s","age60s","age70s","age80plus","type"
"34","WINDY HILLS","KY",NA,2427,9.5,8.6,4.8,10.9,10.4,11.5,18.7,16.2,9.4,"Rural"
"35","LUTCHER","LA",NA,3133,12.1,11.6,11.8,10.7,9.3,12.7,16.4,8.2,7,"Rural"
"36","POYDRAS","LA",NA,2536,13.1,13.2,13.2,14,9,14.2,14.6,6.9,1.9,"Rural"
"37","WHITE ISLAND SHORES","MA",NA,2180,10.4,10.1,13.6,16.2,11.2,14.8,15,6.7,2.1,"Rural"
"382","UPTON","MA",NA,3090,10.4,14,10.4,11,12.9,17.6,13,7.3,3.3,"Rural"
"392","BOONSBORO","MD",NA,3799,12.3,15,9.9,13.8,12.4,14.1,10.6,7.5,4.1,"Rural"
"401","INDIAN HEAD","MD",NA,3894,14.2,14.7,12.5,16.1,12.6,14.4,9,4.3,2.2,"Rural"
"41","BAR HARBOR","ME",NA,2260,5.6,9.8,17.1,12,9.4,11.5,17.4,11.4,5.9,"Rural"
"42","BERWICK","ME",NA,2277,9.9,15.4,10.9,17.4,12.2,14.2,11.4,6.4,2.2,"Rural"
"43","SKIDWAY LAKE","MI",NA,3082,10.5,11.5,9.7,11.9,10.4,16,16.1,9.7,4.2,"Rural"
"44","HUDSON","MI",NA,2415,16.6,14.9,13.4,12.4,12,11.4,11.2,5.2,3,"Rural"
"45","MELROSE","MN",NA,3602,14,15.9,10.6,11.3,11.6,12.3,10.3,6.4,7.6,"Rural"
"46","BAYPORT","MN",NA,4024,9.2,8.4,14.8,23.6,15,11.4,9,4.1,4.4,"Rural"
"47","GARDEN CITY","MO",NA,1629,14.8,14.7,14.2,12.7,12.2,12.9,9.9,6.2,2.5,"Rural"
"481","LATHROP","MO",NA,2271,14,17.4,9.8,12.7,13.7,12.4,9.5,7.7,2.7,"Rural"
"492","IUKA","MS",NA,3139,11.5,13,10.8,10.7,10.2,12.9,12.9,10.6,7.4,"Rural"
"50","BEECHWOOD","MS",NA,3469,15.4,14.5,12,11.2,12.2,12.1,11.6,7.6,3.4,"Rural"
"511","FORSYTH","MT",NA,1647,9.2,10,9.9,9,9.9,13,17.9,13.7,7.7,"Rural"
"522","WOLF POINT","MT",NA,2517,14.5,14.6,12.3,13.1,11,10.7,13.2,5.8,4.7,"Rural"
"533","ELKIN","NC",NA,4122,10.9,11.9,10.7,10.1,11.7,12.4,13,10.4,8.9,"Rural"
"544","FAIRPLAINS","NC",NA,2029,12.2,13.6,11.8,11.4,11,13.5,13.2,7.9,5.5,"Rural"
"55","BOTTINEAU","ND",NA,2194,11.8,15.1,12.6,11.2,9.1,10.1,11.6,9.6,8.9,"Rural"
"56","HAZEN","ND",NA,2281,13.3,12.8,8.6,13.2,10.7,12,16.7,8.3,4.3,"Rural"
"57","ST. PAUL","NE",NA,2416,14.3,13.8,8.8,12.7,11.5,10.4,10.9,8.4,9.1,"Rural"
"58","O'NEILL","NE",NA,3581,14.1,12.3,11.4,12.4,10.1,11.7,13.4,7.9,6.8,"Rural"
"59","ENFIELD","NH",NA,1571,9.1,8.3,14.1,14.9,11.2,14.6,15.7,7.7,4.3,"Rural"
"60","RAYMOND","NH",NA,3738,8.6,10.2,11.1,13.3,13.2,15.4,16.3,8.4,3.4,"Rural"
"61","GREAT NOTCH","NJ",NA,3289,8.1,8.5,10.3,13.2,12.7,14.8,15.8,10.6,6,"Rural"
"62","UNION","NJ",NA,2229,9.5,11.1,13.1,15,15.1,14.6,10.4,6.7,4.4,"Rural"
"631","SANTA CLARA","NM",NA,1637,10,11.9,9.1,8.6,11.7,12.1,14.7,11.8,10.2,"Rural"
"64","CENTER POINT","NM",NA,2435,9.5,13.4,9.3,11,11.7,14.9,15.8,10.1,4.6,"Rural"
"651","YERINGTON","NV",NA,3121,11.8,12.2,9,12.2,9.8,12,14.4,10.7,7.8,"Rural"
"661","HAWTHORNE","NV",NA,3118,11.4,9.5,10,12.1,9.6,12.6,16.6,11.9,6.3,"Rural"
"67","PALMYRA","NY",NA,3305,10.6,12.8,13.3,12.7,12.4,12.9,14.3,8,3.1,"Rural"
"68","CLARENCE CENTER","NY",NA,2605,10.1,18,8.5,8.1,12.8,16.5,13.5,8.4,4.1,"Rural"
"69","GREENHILLS","OH",NA,3741,12,12.3,11.5,14.6,11.5,13.2,13,7.1,4.9,"Rural"
"70","SIXTEEN MILE STAND","OH",NA,3091,12.6,13.3,12.4,14.5,12.4,11.8,13.9,6.7,2.4,"Rural"
"71","NEWKIRK","OK",NA,2172,12.9,13.6,13,13.9,10.5,10.8,11.4,8.7,5.3,"Rural"
"72","GOLDSBY","OK",NA,2694,14.7,17.4,7.1,13.1,15,11.5,12.2,6.6,2.4,"Rural"
"73","CLATSKANIE","OR",NA,1716,11.4,12.7,12.9,14.1,10.5,11.5,13.6,8.3,5,"Rural"
"741","COQUILLE","OR",NA,4015,10.8,11.2,11.1,11.6,11.4,11.9,15.3,10.8,5.9,"Rural"
"751","LAWSON HEIGHTS","PA",NA,2090,7.9,9.4,9.7,9.7,11.8,14.4,16,11.4,9.7,"Rural"
"76","SPINNERSTOWN","PA",NA,1697,9.8,16.1,9,10.6,14.7,16.8,12.5,8,2.6,"Rural"
"77","CHARLESTOWN","RI",NA,1714,4.5,6.5,7.6,7.1,7.6,16.3,26,17.6,7,"Rural"
"78","HARRISVILLE","RI",NA,1745,10.1,11.7,11.2,11.6,11.8,15.1,15.1,8.4,4.8,"Rural"
"791","BURNETTOWN","SC",NA,3105,11.4,15.2,12.5,12,13,12.3,11.4,8.7,3.3,"Rural"
"80","INDIA HOOK","SC",NA,3817,10.3,12.5,9.8,13.4,13.1,13,13.7,10.7,3.4,"Rural"
"811","PINE RIDGE","SD",NA,3138,16.2,23.4,13.5,13.2,10.3,10.8,8.1,3.3,1.3,"Rural"
"821","NORTH EAGLE BUTTE","SD",NA,1879,19.2,18.1,14.3,11.3,11.2,12.3,9.1,3.1,1.3,"Rural"
"831","JACKSBORO","TN",NA,2306,10.2,11.5,12.4,12.2,14.2,13.7,13.3,8.4,4.2,"Rural"
"84","COLONIAL HEIGHTS","TN",NA,3055,8.8,12.5,10.8,11,14.4,14.8,13,9.9,4.8,"Rural"
"851","SMITHVILLE","TX",NA,3922,12.5,13.5,9.4,11.4,11.2,13.6,13.3,10.6,4.3,"Rural"
"86","OVERTON","TX",NA,2275,13.3,15,11.6,12.8,12.1,12.4,10.5,7.5,4.8,"Rural"
"871","HONEYVILLE","UT",NA,1606,12.9,20.9,8.8,10.8,14,11.2,12.5,5.9,3,"Rural"
"88","LEWISTON","UT",NA,1939,17.9,18,12.9,12.6,11.2,8.7,10.7,5.4,2.7,"Rural"
"891","STEPHENS CITY","VA",NA,2016,12.7,15.2,13,15.2,12.6,12.1,9.7,7.1,2.3,"Rural"
"90","NEW MARKET","VA",NA,2155,10.9,11.1,9.6,11.1,9.9,12.7,13.9,12.7,8.3,"Rural"
"91","WEST RUTLAND","VT",NA,1898,9.4,10.8,10.7,12.7,11,15.9,15.4,9.6,4.5,"Rural"
"921","SWANTON","VT",NA,2328,12.1,10.4,12.3,13.7,11.8,13.5,12.1,9.2,4.8,"Rural"
"93","WARDEN","WA",NA,2449,15.2,19.9,14,13.1,10.4,13,8.8,3.9,1.6,"Rural"
"94","MABTON","WA",NA,1959,17,21.7,14.3,12.5,10.6,10.1,8.3,3.8,1.8,"Rural"
